,Unnamed: 0,Symbol,Wikipedia Link,Name,Sector,SEC Filings Link,CIK,Enterprise Value,Trailing P/E,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,EBITDA,Diluted EPS,Market Cap (intraday),Forward P/E,Beta,50-Day Moving Average,200-Day Moving Average,Avg Vol (3 month),Avg Vol (10 day),Shares Outstanding
294,294,PH,https://en.wikipedia.org/wiki/wiki/Parker-Hannifin,Parker-Hannifin,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000076334&type=10-K&dateb=&owner=include&count=40,76334,28310000000.0,26.05,2.12,13.36,13350000000.0,2120000000.0,6.43,22280000000.0,14.59,1.18,177.87,186.33,1170000.0,1120000.0,133050000.0
295,295,PAYX,https://en.wikipedia.org/wiki/wiki/Paychex_Inc.,Paychex Inc.,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000723531&type=10-K&dateb=&owner=include&count=40,723531,22600000000.0,26.17,6.98,15.97,3240000000.0,1420000000.0,2.32,21820000000.0,21.92,0.88,64.32,65.3,2430000.0,3840000.0,359280000.0
296,296,PYPL,https://en.wikipedia.org/wiki/wiki/PayPal,PayPal,Information Technology,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001633917&type=10-K&dateb=&owner=include&count=40,1633917,86420000000.0,50.24,6.6,35.61,13090000000.0,2430000000.0,1.47,88640000000.0,26.76,1.26,78.7,74.97,9980000.0,10590000.0,1200000000.0
297,297,PNR,https://en.wikipedia.org/wiki/wiki/Pentair,Pentair Ltd.,Industrials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000077360&type=10-K&dateb=&owner=include&count=40,77360,13610000000.0,18.78,2.76,13.9,4940000000.0,979500000.0,3.62,12140000000.0,15.83,1.31,70.09,69.46,1040000.0,1180000.0,178340000.0
298,298,PEP,https://en.wikipedia.org/wiki/wiki/PepsiCo_Inc.,PepsiCo Inc.,Consumer Staples,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000077476&type=10-K&dateb=&owner=include&count=40,77476,173040000000.0,32.36,2.72,13.6,63520000000.0,12720000000.0,3.38,155150000000.0,17.74,0.67,109.82,113.71,4690000.0,4520000.0,1420000000.0
299,299,PKI,https://en.wikipedia.org/wiki/wiki/PerkinElmer,PerkinElmer,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000031791&type=10-K&dateb=&owner=include&count=40,31791,10350000000.0,27.69,4.59,23.3,2260000000.0,444310000.0,2.64,8090000000.0,18.44,1.24,76.31,74.08,,,110500000.0
300,300,PRGO,https://en.wikipedia.org/wiki/wiki/Perrigo,Perrigo,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001585364&type=10-K&dateb=&owner=include&count=40,1585364,14130000000.0,97.61,2.86,12.27,4950000000.0,1150000000.0,0.84,11550000000.0,14.23,0.79,84.78,86.55,1020000.0,,140880000.0
301,301,PFE,https://en.wikipedia.org/wiki/wiki/Pfizer_Inc.,Pfizer Inc.,Health Care,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000078003&type=10-K&dateb=&owner=include&count=40,78003,234930000000.0,10.0,4.47,11.04,52550000000.0,21270000000.0,3.52,209210000000.0,11.49,0.93,36.02,36.04,25510000.0,23400000.0,5950000000.0
302,302,PCG,https://en.wikipedia.org/wiki/wiki/PG%26E_Corp.,PG&E Corp.,Utilities,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001004980&type=10-K&dateb=&owner=include&count=40,1004980,41910000000.0,13.7,2.45,7.14,17129999999.999996,5870000000.0,3.21,22680000000.0,11.02,0.08,41.58,51.6,6050000.0,4670000.0,515910000.0
303,303,PM,https://en.wikipedia.org/wiki/wiki/Philip_Morris_International,Philip Morris International,Consumer Staples,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001413329&type=10-K&dateb=&owner=include&count=40,1413329,181630000000.0,26.04,6.32,14.67,28750000000.0,12380000000.0,3.88,157030000000.0,17.33,0.77,103.01,105.7,5560000.0,5170000.0,1550000000.0
304,304,PSX,https://en.wikipedia.org/wiki/wiki/Phillips_66,Phillips 66,Energy,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001534701&type=10-K&dateb=&owner=include&count=40,1534701,54460000000.0,9.85,0.61,17.38,89340000000.0,3130000000.0,9.85,45220000000.0,12.06,0.9,93.9,95.82,2250000.0,1870000.0,466320000.0
305,305,PNW,https://en.wikipedia.org/wiki/wiki/Arizona_Public_Service#Pinnacle_West_Capital,Pinnacle West Capital,Utilities,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000764622&type=10-K&dateb=&owner=include&count=40,764622,13670000000.0,18.33,3.84,8.85,3570000000.0,1550000000.0,4.35,8930000000.0,16.97,0.2,77.9,83.53,,,111930000.0
306,306,PXD,https://en.wikipedia.org/wiki/wiki/Pioneer_Natural_Resources,Pioneer Natural Resources,Energy,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001038357&type=10-K&dateb=&owner=include&count=40,1038357,29970000000.0,34.67,5.66,15.52,5290000000.0,1930000000.0,4.85,28630000000.0,20.28,1.26,172.33,163.45,1590000.0,1610000.0,170300000.0
307,307,PPG,https://en.wikipedia.org/wiki/wiki/PPG_Industries,PPG Industries,Materials,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0000079879&type=10-K&dateb=&owner=include&count=40,79879,30540000000.0,17.72,2.07,12.1,14750000000.0,2520000000.0,6.17,27270000000.0,15.01,1.57,113.57,114.83,1600000.0,1610000.0,249320000.0
